image_files,Picturio,AADB
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0140_131074383405535316.jpg,0.1135176494717598,0.424411
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0141_131074383475528101.jpg,0.1171824112534523,0.282534
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0142_131074383649261343.jpg,0.3987071216106415,0.368616
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0143_131064101974397790.jpg,0.47844770550727844,0.643396
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0144_131064101981741306.jpg,0.6461527943611145,0.525048
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0145_131067355891885507.jpg,0.5889829397201538,0.442659
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0146_131067355925429285.jpg,0.6772734522819519,0.615261
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0147_131064101997288466.jpg,0.6151766180992126,0.442133
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0149_131067355958777069.jpg,0.6722482442855835,0.51272
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\015_2014_kari-[f_7,0]-[1_40 s]-[55,0 mm]-[photo-levi]_dsc_9261_131072791764244173.jpg",0.30208465456962585,0.569279
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\015_2015-tavasz-f_3,0-1_500 s-50,0 mm-20150423dsc_1905_131067553328856656.jpg",0.4459936320781708,0.62006
"c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\015_photoexpo-[-[f_5,0]-[1_8 s]-[46,0 mm]-_mg_9058_131067553364011789.jpg",0.15651635825634003,0.325884
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0150_131074361899597590.jpg,0.4287313222885132,0.662054
c:\Users\szmike\OneDrive\AES\Photo_DB\Annotator_Processed\images\0151_131067355980183003.jpg,0.6411661505699158,0.38337
